1,Jan,31,-2.037037037,8,315.68,91.85
2,Feb,28,-1.851851852,9,293.63,104.56
3,Mar,31,3.703703704,11,450.49,122.46
4,Apr,30,9.351851852,12,408.44,146.09
5,May,31,15.09259259,13,456.85,163.78
6,Jun,30,20.83333333,14,419.51,166.99
7,Jul,31,23.33333333,14,463.95,161.38
8,Aug,31,22.77777778,13,459.61,144.93
9,Sep,30,18.33333333,12,448.71,126.61
10,Oct,31,12.68518519,10,454.14,99.05
11,Nov,30,6.851851852,10,298.08,76.24
12,Dec,31,1.481481481,9,281.80,64.24
