"Month"," Conduction (%)"," Ventilation (%)"," Heat Loss (kWh)"
"1"," 69.78148275534876"," 30.218517244651245"," 8869.949710494408"
"2"," 69.95066840264265"," 30.04933159735736"," 7928.222136645583"
"3"," 75.43763946102479"," 24.562360538975227"," 6169.107168558259"
"4"," 81.97497339506353"," 18.025026604936482"," 3710.2339928099304"
"5"," 89.89266715368639"," 10.107332846313607"," 1787.7896910656552"
"6"," 99.50337137394996"," 0.4966286260500523"," 69.38156822209548"
"9"," 95.07670158453656"," 4.923298415463434"," 753.3484541570884"
"10"," 86.39338034084045"," 13.606619659159556"," 2605.65975118507"
"11"," 78.946797983705"," 21.053202016294996"," 4672.368335216657"
"12"," 73.14269719990918"," 26.857302800090814"," 7175.445110571547"
""
"Month"," Conduction (%)"," Ventilation (%)"," Solar Heat Gain (%)"," Heat Gain (kWh)"
"7"," 13.16881638779237"," 0.5504596697408457"," 86.28072394246678","4536.9126110208435"
"8"," 11.505512380222147"," 0.3612980503650577"," 88.13318956941279","3901.0550906211915"
